,name,ID,num,coef_maj,intercept_maj,coef_min,intercept_min,dr1_Maj,dr1_Min,il1_Maj,il1_Min,diameter
82,xjb59_02_p_dr1_lm_20180116.csv,xjb59,25,-0.805283846,69.91192615,-0.31372,18.6332,-0.011518548,-0.016836614,34.95596308,9.3166,1.828
83,xjb59_03_p_dr1_lm_20180116.csv,xjb59,32,-0.721357771,88.54229545,-0.218455462,27.13127841,-0.008147042,-0.008051794,44.27114773,13.5656392,2.434
84,xjb60_01_p_dr1_lm_20180116.csv,xjb60,32,-1.206337427,101.6668239,-0.296886913,28.12465341,-0.011865596,-0.010556109,50.83341193,14.0623267,2.704
85,xjb61_01_p_dr1_lm_20180116.csv,xjb61,22,-1.099227555,68.70934387,-0.537071711,18.62779842,-0.015998225,-0.028831733,34.35467194,9.313899209,2.22
86,xjb61_02_p_dr1_lm_20180116.csv,xjb61,23,-1.093687747,68.87821739,-0.506052372,18.82788043,-0.015878572,-0.026877819,34.4391087,9.413940217,2.289
87,xjb61_03_p_dr1_lm_20180116.csv,xjb61,23,-0.795477273,60.76025,-0.500662055,17.95319565,-0.013092067,-0.027887072,30.380125,8.976597826,2.355
88,xjb61_04_p_dr1_lm_20180116.csv,xjb61,20,-0.655876692,60.48392857,-0.458139098,18.92987143,-0.010843818,-0.024201913,30.24196429,9.464935714,1.692
89,xjb62_01_p_dr1_lm_20180116.csv,xjb62,23,-0.46388834,62.6598587,-0.559745059,22.7881087,-0.007403278,-0.024563033,31.32992935,11.39405435,1.906
90,xjb63_01_p_dr1_lm_20180116.csv,xjb63,38,-0.619036328,68.10251417,-0.236650399,18.9585587,-0.009089772,-0.01248251,34.05125709,9.479279352,2.038
91,xjb66_01_p_dr1_lm_20180116.csv,xjb66,27,-0.630351038,69.26148942,-0.425631868,24.2360291,-0.009101032,-0.017561947,34.63074471,12.11801455,2.239
92,xjb67_01_p_dr1_lm_20180116.csv,xjb67,16,-1.122069118,68.75783088,-0.603225,23.673625,-0.016319147,-0.025480889,34.37891544,11.8368125,1.933
93,xjb67_02_p_dr1_lm_20180116.csv,xjb67,17,-1.051740196,65.60780392,-0.524737745,20.60807843,-0.016030718,-0.025462721,32.80390196,10.30403922,2.071
94,xjb69_01_p_dr1_lm_20180116.csv,xjb69,24,-1.059738696,75.09770333,-0.35551913,23.49730333,-0.014111466,-0.01513021,37.54885167,11.74865167,2.298
95,xjb70_01_p_dr1_lm_20180116.csv,xjb70,20,-1.305873684,83.0688,-0.456949624,18.64637143,-0.015720387,-0.024506088,41.5344,9.323185714,1.958
96,xjb73_01_p_dr1_lm_20180116.csv,xjb73,29,-1.120548768,93.29913103,-0.296735961,25.59430345,-0.012010281,-0.011593828,46.64956552,12.79715172,2.853
97,xjb74_01_p_dr1_lm_20180116.csv,xjb74,24,-1.185938261,85.50254,-0.21263,22.22112,-0.013870211,-0.009568825,42.75127,11.11056,2.078
98,xjb75_01_p_dr1_lm_20180116.csv,xjb75,22,-1.51066742,91.03728063,-0.556985319,22.69357312,-0.016593943,-0.024543747,45.51864032,11.34678656,1.903
99,xjb76_01_p_dr1_lm_20180116.csv,xjb76,30,-0.64096129,75.15937204,-0.45322069,26.63153333,-0.008528029,-0.017018197,37.57968602,13.31576667,2.961
